Name,Address,Scale,Unit,Description,Used to plant type,Register Type
Nilan_Bus_Version,000,,,Protocol version number,All plants,Input
Nilan_App_VersionMajor,001,,text,Software version - major (2 character ascii text),All plants,Input
Nilan_App_VersionMinor,002,,text,Software version - minor (2 character ascii text),All plants,Input
Nilan_App_VersionRelease,003,,text,Software version - release (2 character ascii text),All plants,Input
Nilan_Input_UserFunc,100,,,User function,All plants,Input
Nilan_Input_AirFilter,101,,,Air filter alarm,VPM-Comfort-Comforti,Input
Nilan_Input_DoorOpen,102,,,Door contact ,VPM-Comforti,Input
Nilan_Input_Smoke,103,,,Fire/Smoke alarm,All plants,Input
Nilan_Input_MotorThermo,104,,,Motor thermo fuse ,VPM-Comforti,Input
Nilan_Input_Frost_Overht,105,,,Heating surface frost / overheat,VPL-VPM-Compact-Comfort-Comforti,Input
Nilan_Input_AirFlow,106,,,Airflow monitor (guard),VPL-VPM-Compact-Comfort-Comforti,Input
Nilan_Input_P_HI,107,,,High pressure switch,All Plants,Input
Nilan_Input_P_LO,108,,,Low pressure switch,Not in use,Input
Nilan_Input_Boil,109,,,Hot water boiling,VGU-VP-Compact,Input
Nilan_Input_3WayPos,110,,,Hot water 3-way valve position,Not in use,Input
Nilan_Input_DefrostHG,111,,,Hotgas defrost type selection,Not in use,Input
Nilan_Input_Defrost,112,,,Defrost thermostat,VPL-VPM-VGU-VP-Compact,Input
Nilan_Input_UserFunc_2,113,,,User function 2,VPL-VGU-VP-Compact-Comfort,Input
Nilan_Input_T0_Controller,200,100,°C,Controller board temperature,All plants,Input
Nilan_Input_T1_Intake,201,100,°C,Fresh air intake temperature,VPL-VPM-VGU-VP-Compact,Input
Nilan_Input_T2_Inlet,202,100,°C,Inlet temperature (before heater),VPL-VPM-VP-Compact-Comfort-Comforti,Input
Nilan_Input_T3_Exhaust,203,100,°C,Room exhaust temperature,Comfort-Comforti,Input
Nilan_Input_T4_Outlet,204,100,°C,Outlet temperature,Compact-Comfort-Comforti,Input
Nilan_Input_T5_Cond,205,100,°C,Condenser temperature,VPL-VPM-VP-Compact,Input
Nilan_Input_T6_Evap,206,100,°C,Evaporator temperature,VPL-VPM-VGU-VP-Compact,Input
Nilan_Input_T7_Inlet,207,100,°C,Inlet temperature (after heater),VPL-VPM-VP-Compact-Comfort-Comforti,Input
Nilan_Input_T8_Outdoor,208,100,°C,Outdoor temperature,Comfort-Comforti,Input
Nilan_Input_T9_Heater,209,100,°C,Heating surface temperature,VPL-VPM-Comfort-Comforti,Input
Nilan_Input_T10_Extem,210,100,°C,External room temperature,All plants,Input
Nilan_Input_T11_Top,211,100,°C,Hot water top temperature,VGU-VP-Compact,Input
Nilan_Input_T12_Bottom,212,100,°C,Hot water bottom temperature,VGU-VP-Compact,Input
Nilan_Input_T13_Retum,213,100,°C,EK return temperature,VGU-VP,Input
Nilan_Input_T14_Supply,214,100,°C,EK supply temperature,VGU-VP,Input
Nilan_Input_T15_Room,215,100,°C,User panel room temperature,All plants,Input
Nilan_Input_T16,216,100,°C,AUX temperature (sacrificial anode),VGU-VP-Compact,Input
Nilan_Input_RH,221,100,%,Humidity,All plants,Input
Nilan_Input_0O2,222,,ppm,Carbon dioxide,All plants,Input
Nilan_Alarm_Status,400,,,Alarm state bit mask,All,Input
Nilan_Alarm_List_1_ID,401,,,Alarm 1 - Code,All,Input
Nilan_Alarm_List_1_Date,402,,,Alarm 1 - Date,All,Input
Nilan_Alarm_List_1_Time,403,,,Alarm 1 - Time,All,Input
Nilan_Alarm_List_2_ID,404,,,Alarm 2 - Code,All,Input
Nilan_Alarm_List_2_Date,405,,,Alarm 2 - Date,All,Input
Nilan_Alarm_List_2_Time,406,,,Alarm 2 - Time,All,Input
Nilan_Alarm_List_3_ID,407,,,Alarm 3 - Code,All,Input
Nilan_Alarm_List_3_Date,408,,,Alarm 3 - Date,All,Input
Nilan_Alarm_List_3_Time,409,,,Alarm 3 - Time,All,Input
Nilan_Control_RunAct,1000,,,Actual on/off state,All,Input
Nilan_Control_ModeAct,1001,,,Actual operation mode,All,Input
Nilan_Control_State,1002,,,Actual control state,All,Input
Nilan_Control_SeclnState,1003,,Sec,Actual time in state,All,Input
Nilan_AirTemp_IsSummer,1200,,,Summer state,All,Input
Nilan_AirTemp_Tempinlet,1201,100,°C,Inlet temperature request (T7 setpoint),All,Input
Nilan_AirTemp_TempCont,1202,100,°C,Actual value for controlled temperature,All,Input
Nilan_AirTemp_TempRoom,1203,100,°C,Actual room temperature (T15 or T10),All,Input
Nilan_AirTemp_EffPct,1204,100,%,Passive heat exchanger efficiency,Compact-Comfort-Comforti,Input
Nilan_AirTemp_CapSet,1205,100,%,Requested capacity,All plants,Input
Nilan_AirTemp_CapAct,1206,100,%,Actual capacity,All plants,Input
Nilan_Display_LED_1,2000,,,User panel indicator light,All plants,Input
Nilan_Display_LED_2,2001,,,,All plants,Input
Nilan_Display_Text_1_2,2002,,ascii,Text line 1 character 1-2,All plants,Input
Nilan_Display_Text_3_4,2003,,ascii,,All plants,Input
Nilan_Display_Text_5_6,2004,,ascii,,All plants,Input
Nilan_Display_Text_7_8,2005,,ascii,,All plants,Input
Nilan_Display_Attr_1_8,2006,,,Text line 1 flags,All plants,Input
Nilan_Display_Text_9_10,2007,,ascii,ext line 2 character 9-10,All plants,Input
Nilan_Display_Text_11_12,2008,,ascii,,All plants,Input
Nilan_Display_Text_13_14,2009,,ascii,,All plants,Input
Nilan_Display_Text_15_16,2010,,ascii,,All plants,Input
Nilan_Display_Attr_9_16,2011,,,Text line 2 flags,All plants,Input
Nilan_Bus_Address,0,,,Protocol node address (default = 30),All plants,Holding
Nilan_Output_AirFlap,100,,,Air flap,VPL-VPM-VGU-VP-Comfort-Comforti,Holding
Nilan_Output_SmokeFlap,101,,,Fire/Smoke flap,VPM-Comforti,Holding
Nilan_Output_BypassOpen,102,,,Bypass flap open,Compact-Comfort-Comforti,Holding
Nilan_Output_BypassClose,103,,,Bypass flap close,Compact-Comfort-Comforti,Holding
Nilan_Output_AirCircPump,104,,,Air heat circulation pump,VPM-Comfort-Comforti,Holding
Nilan_Output_AirHeatAllo,105,,,Air heating selected,VPL-VPM-Compact-Comfort-Comforti,Holding
Nilan_Output_AirHeat_1,106,,,Air heater relays,VPM-Comforti,Holding
Nilan_Output_AirHeat_2,107,,,Air heater relays,VPM-Comforti,Holding
Nilan_Output_AirHeat_3,108,,,Air heater relays,VPM-Comforti,Holding
Nilan_Output_Compressor,109,,,Compressor,VPL-VPM-VGU-VP-Compact,Holding
Nilan_Output_Compressor2,110,,,Compressor 2,Not in use,Holding
Nilan_Output_4WayCool,111,,,4-way valve,VPL-VPM-VGU-Compact,Holding
Nilan_Output_HotgasHeat,112,,,Hotgas valve - heat,VPM,Holding
Nilan_Output_HotgasCool,113,,,Hotgas valve - cool,VPM,Holding
Nilan_Output_CondOpen,114,,,Air condenser active,Compact,Holding
Nilan_Output_CondClose,115,,,Air condenser inactive,Compact,Holding
Nilan_Output_WaterHeat,116,,,Hot water heater,VGU-VP-Compact,Holding
Nilan_Output_3WayValve,117,,,Hot water 3-way valve,Not in use,Holding
Nilan_Output_CenCircPump,118,,,EK circulation pump,VGU-VP,Holding
Nilan_Output_CenHeat_1,119,,,EK heater relays,VGU-VP,Holding
Nilan_Output_CenHeat_2,120,,,EK heater relays,VGU-VP,Holding
Nilan_Output_CenHeat_3,121,,,EK heater relays,VGU-VP,Holding
Nilan_Output_CenHeatExt,122,,,External radiator heat,VPL-VP-Compact-Comfort,Holding
Nilan_Output_UserFunc,123,,,User function active,All plants,Holding
Nilan_Output_UserFunc_2,124,,,User function active,VPL-VGU-VP-Compact-Comfort,Holding
Nilan_Output_Defrosting,125,,,Defrost function active,All plants,Holding
Nilan_Output_ExhaustSpeed,200,100,%,Exhaust fan speed,All plants,Holding
Nilan_Output_InletSpeed,201,100,%,Inlet fan speed,VPL-VPM-VP-Compact-Comfort-Comforti,Holding
Nilan_Output_AirHeatCap,202,100,%,Air heater capacity,VPL-VPM-Compact-Comfort-Comforti,Holding
Nilan_Output_CenHeatCap,203,100,%,Central heater capacity,VGU-VP,Holding
Nilan_Output_CprCap,204,100,%,Compresor capacity,VPL-VPM-VGU-VP-Compact,Holding
Nilan_Output_EarthSpeed,205,100,%,Earth tube air intake fan speed,VPcCoB,Holding
Nilan_Time_Second,300,,ss,Second,All plants,Holding
